City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bethel,US,2022-04-26 15:58:58,41.3712,-73.414,54.03,88,100,5.75
67,Namatanai,PG,2022-04-26 16:02:02,-3.6667,152.4333,80.55,80,23,7.52
68,Kendari,ID,2022-04-26 16:02:03,-3.945,122.4989,75.18,94,90,3.22
69,Sept-Iles,CA,2022-04-26 16:02:04,50.2001,-66.3821,37.06,96,100,11.5
70,Benguela,AO,2022-04-26 16:02:04,-12.5763,13.4055,79.21,76,39,5.88
71,Kailua,US,2022-04-26 16:02:05,21.4022,-157.7394,73.02,94,72,1.99
72,Watertown,US,2022-04-26 16:02:06,42.3709,-71.1828,57.06,77,100,5.01
73,Luderitz,NA,2022-04-26 16:02:08,-26.6481,15.1594,70.27,46,0,13.29
74,Soverato,IT,2022-04-26 16:02:08,38.685,16.5499,71.15,49,1,1.88
75,Knysna,ZA,2022-04-26 16:02:09,-34.0363,23.0471,58.82,83,2,3.89
76,Olinda,BR,2022-04-26 16:02:10,-8.0089,-34.8553,85.73,62,40,14.97
77,Caohai,CN,2022-04-26 16:02:10,26.8661,104.2841,55.76,85,29,3.2
78,Port Augusta,AU,2022-04-26 16:02:11,-32.5,137.7667,60.85,89,86,3.29
79,Barrow,US,2022-04-26 15:59:31,71.2906,-156.7887,7.99,96,100,8.57
80,Nuevitas,CU,2022-04-26 16:02:11,21.5453,-77.2644,81.36,61,8,14.61
81,Grand Gaube,MU,2022-04-26 16:02:12,-20.0064,57.6608,77.4,76,1,1.99
82,Punta Arenas,CL,2022-04-26 15:59:09,-53.15,-70.9167,37.51,75,75,6.91
83,Mount Isa,AU,2022-04-26 16:02:12,-20.7333,139.5,71.37,83,19,5.75
84,Ketchikan,US,2022-04-26 16:02:13,55.3422,-131.6461,43.32,81,100,3.47
85,Bluff,NZ,2022-04-26 15:59:22,-46.6,168.3333,52.81,79,52,13.2
86,Leningradskiy,RU,2022-04-26 16:02:13,69.3833,178.4167,0.81,97,81,9.04
87,Namibe,AO,2022-04-26 16:02:14,-15.1961,12.1522,73.58,71,59,11.21
88,Khatanga,RU,2022-04-26 16:02:14,71.9667,102.5,11.14,93,100,6.26
89,Jamestown,US,2022-04-26 16:02:11,42.097,-79.2353,47.52,59,100,9.22
90,Puerto Ayora,EC,2022-04-26 16:02:15,-0.7393,-90.3518,75.56,76,8,8.32
91,Faanui,PF,2022-04-26 16:02:16,-16.4833,-151.75,81.73,75,13,19.48
92,Coquimbo,CL,2022-04-26 16:02:26,-29.9533,-71.3436,62.2,77,37,4.38
93,Maun,BW,2022-04-26 16:02:27,-19.9833,23.4167,80.58,29,13,6.24
94,Airai,TL,2022-04-26 16:02:27,-8.9266,125.4092,59.04,88,71,0.74
95,Qandala,SO,2022-04-26 16:02:28,11.472,49.8728,84.38,63,53,3.8
96,Cristalina,BR,2022-04-26 16:02:28,-16.7686,-47.6136,80.44,38,2,9.31
97,Rincon,US,2022-04-26 16:00:10,32.296,-81.2354,82.94,45,0,6.87
98,Atuona,PF,2022-04-26 16:02:28,-9.8,-139.0333,79.32,74,28,22.44
99,Ilulissat,GL,2022-04-26 16:02:29,69.2167,-51.1,35.62,80,100,6.91
100,Gazanjyk,TM,2022-04-26 16:02:29,39.2446,55.5154,70.95,52,100,10.92
101,Mahebourg,MU,2022-04-26 16:01:06,-20.4081,57.7,77.29,78,40,11.5
102,Kapaa,US,2022-04-26 16:02:30,22.0752,-159.319,71.92,96,100,13.8
103,Kyabram,AU,2022-04-26 16:02:30,-36.3167,145.05,63.88,62,99,10.65
104,Iskateley,RU,2022-04-26 16:02:31,67.6803,53.1512,32.34,99,100,5.75
105,Tuatapere,NZ,2022-04-26 16:02:31,-46.1333,167.6833,51.67,88,100,6.85
106,Ust-Nera,RU,2022-04-26 16:02:32,64.5667,143.2,9.12,98,100,5.26
107,Nunspeet,NL,2022-04-26 16:02:32,52.3667,5.7667,57.61,53,22,13.13
108,Belmonte,BR,2022-04-26 16:02:33,-15.8631,-38.8828,83.82,58,39,9.48
109,Thompson,CA,2022-04-26 16:02:35,55.7435,-97.8558,28.56,60,75,5.37
110,La Rioja,ES,2022-04-26 16:02:35,42.25,-2.5,58.78,51,99,5.37
111,Arraial Do Cabo,BR,2022-04-26 16:02:36,-22.9661,-42.0278,77.02,83,7,14.14
112,Dikson,RU,2022-04-26 15:59:28,73.5069,80.5464,3.25,95,97,8.03
