City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Magistralnyy,RU,56.1725,107.4458,46.78,74,100,10.6,overcast clouds
80,Prince Rupert,CA,54.3161,-130.3201,48.29,70,75,8.05,broken clouds
81,Lagoa,PT,39.05,-27.9833,60.73,69,33,6.02,scattered clouds
82,Port Lincoln,AU,-34.7333,135.8667,55.35,80,1,2.71,clear sky
83,Kapaa,US,22.0752,-159.319,80.58,83,100,19.57,overcast clouds
84,Victoria,HK,22.2855,114.1577,76.32,75,100,4.0,overcast clouds
85,Moultonborough,US,43.7548,-71.3967,58.98,31,100,4.0,overcast clouds
86,Mar Del Plata,AR,-38.0023,-57.5575,71.62,60,0,20.71,clear sky
87,Bambous Virieux,MU,-20.3428,57.7575,77.22,83,40,8.05,light rain
88,Buala,SB,-8.145,159.5921,81.7,81,95,7.78,light rain
89,Yumen,CN,40.2833,97.2,51.06,26,3,3.24,clear sky
90,Bethel,US,41.3712,-73.414,52.65,64,100,16.11,light rain
91,Tiksi,RU,71.6872,128.8694,8.06,94,14,6.49,few clouds
92,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,52.48,52,0,11.14,clear sky
93,Nha Trang,VN,12.25,109.1833,77.0,85,100,5.19,overcast clouds
94,Kirakira,SB,-10.4544,161.9205,81.9,82,79,10.56,broken clouds
95,Chokurdakh,RU,70.6333,147.9167,15.31,95,98,10.45,overcast clouds
96,Camacha,PT,33.0833,-16.3333,60.22,77,40,9.22,scattered clouds
97,Lebu,CL,-37.6167,-73.65,57.07,79,6,6.11,clear sky
98,Pevek,RU,69.7008,170.3133,26.53,88,100,4.09,overcast clouds
99,Carutapera,BR,-1.195,-46.02,76.59,92,99,4.38,overcast clouds
100,Klaksvik,FO,62.2266,-6.589,45.52,76,100,8.95,overcast clouds
101,Nikel,RU,69.4128,30.222,35.78,71,47,26.28,scattered clouds
102,Puerto Ayora,EC,-0.7393,-90.3518,78.76,79,37,10.09,scattered clouds
103,Margate,GB,51.3813,1.3862,51.12,91,5,5.99,clear sky
104,Dingle,PH,10.9995,122.6711,77.81,88,11,8.32,few clouds
105,Enid,US,36.3956,-97.8784,85.01,56,0,23.02,clear sky
106,Itarema,BR,-2.9248,-39.9167,78.94,87,91,9.42,overcast clouds
107,Xichang,CN,27.8964,102.2634,61.81,81,96,2.37,overcast clouds
108,Baykit,RU,61.67,96.37,29.03,87,100,11.95,overcast clouds
109,Shimoda,JP,34.6667,138.95,63.1,90,55,3.0,broken clouds
110,Morshyn,UA,49.1565,23.8723,51.28,89,93,2.93,overcast clouds
111,Narsaq,GL,60.9167,-46.05,52.02,64,100,7.9,overcast clouds
112,Guerrero Negro,MX,27.9769,-114.0611,69.75,60,10,16.67,clear sky
113,Bac Lieu,VN,9.285,105.7244,82.18,79,86,11.27,overcast clouds
114,Yarada,IN,17.65,83.2667,80.92,78,40,2.3,haze
115,Teguldet,RU,57.3064,88.1667,27.43,81,100,13.09,overcast clouds
116,Barrow,US,71.2906,-156.7887,21.22,93,100,10.36,overcast clouds
117,Savannakhet,LA,16.566,104.751,74.97,91,100,4.79,light rain
118,Pisco,PE,-13.7,-76.2167,69.85,73,0,12.66,clear sky
119,East London,ZA,-33.0153,27.9116,63.81,87,100,15.26,moderate rain
120,Belmonte,BR,-15.8631,-38.8828,77.63,77,100,7.99,overcast clouds
121,Mount Gambier,AU,-37.8333,140.7667,49.91,81,100,4.61,overcast clouds
122,Odienne,CI,9.51,-7.5692,74.57,81,100,5.99,overcast clouds
123,Castro,BR,-24.7911,-50.0119,55.42,70,50,3.31,scattered clouds
124,Gorontalo,ID,0.5412,123.0595,75.7,96,96,2.33,overcast clouds
125,Saldanha,ZA,-33.0117,17.9442,53.65,74,0,18.01,clear sky
126,San Ramon,US,37.7799,-121.978,71.94,57,40,16.11,scattered clouds
127,Sur,OM,22.5667,59.5289,84.34,61,0,12.41,clear sky
128,Berdigestyakh,RU,62.0989,126.6992,34.84,95,100,5.28,overcast clouds
129,Talara,PE,-4.5772,-81.2719,79.56,61,0,21.85,clear sky
130,Vao,NC,-22.6667,167.4833,73.45,63,73,19.04,broken clouds
131,Mahebourg,MU,-20.4081,57.7,77.25,83,40,8.05,scattered clouds
132,Tamandare,BR,-8.7597,-35.1047,77.4,82,83,3.85,broken clouds
133,Zhuhai,CN,22.2769,113.5678,76.71,73,0,8.05,clear sky
134,Puri,IN,19.8,85.85,81.12,85,5,7.14,clear sky
135,Leningradskiy,RU,69.3833,178.4167,24.93,87,63,2.66,broken clouds
136,Camana,PE,-16.6228,-72.7111,69.33,76,63,6.87,broken clouds
137,San Pedro,PH,14.35,121.0167,82.31,77,20,3.44,few clouds
138,Chulym,RU,55.0997,80.9572,32.23,50,32,7.14,scattered clouds
139,Soure,BR,-0.7167,-48.5233,79.68,82,90,7.96,overcast clouds
