City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Dillon,US,76.98,broken clouds,34.4166,-79.3712,Dillon Express Inn
378,Amahai,ID,79.23,broken clouds,-3.3333,128.9167,HOTEL ISABELA
380,Esmeraldas,BR,78.91,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
382,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
387,Nago,JP,76.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
388,Kahului,US,80.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
389,Malakal,SS,86.88,broken clouds,9.5334,31.6605,Nile Palace Hotel
391,Bahia De Caraquez,EC,80.78,broken clouds,-0.6,-80.4167,Saiananda Eco-Hotel
399,Ibadan,NG,75.27,broken clouds,7.3878,3.8964,Orchard Hotel
403,Tual,ID,85.32,few clouds,-5.6667,132.75,Grand Vilia Hotel
407,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
410,Harper,LR,81.32,overcast clouds,4.375,-7.7169,Screensaver
414,Vaitape,PF,81.32,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
418,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
419,Lethem,GY,80.67,overcast clouds,3.3803,-59.7968,Savannah Inn
421,Nurota,UZ,77.2,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
425,Sohag,EG,79.09,few clouds,26.557,31.6948,Civil Registry - Sohag 1
430,Bartica,GY,82.72,light rain,6.4,-58.6167,Sloth Island Nature Resort
435,Duki,PK,81.05,clear sky,30.1541,68.5728,Bhari Dada Kaka Hotel
438,Guanica,PR,86.29,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
442,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
444,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
449,San Rafael,AR,75.79,clear sky,-34.6177,-68.3301,Hotel San Rafael
456,Saint-Raphael,HT,78.17,broken clouds,19.4333,-72.2,Adouly Hôtel
457,Qui Nhon,VN,76.53,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
463,Pueblo Nuevo,MX,81.3,clear sky,23.3833,-105.3833,
466,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
467,Mae Sot,TH,75.2,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
474,Jacksonville,US,88.09,scattered clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
476,Careiro Da Varzea,BR,84.83,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
478,Tarpon Springs,US,86.22,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
479,Miandrivazo,MG,77.23,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
483,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
487,Mecca,SA,76.78,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
490,Salalah,OM,79.95,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
495,Galle,LK,81.93,overcast clouds,6.0367,80.217,Amangalla
496,Seguela,CI,79.7,light rain,7.9611,-6.6731,Hotel le Carrefour
499,Waingapu,ID,79.18,few clouds,-9.6567,120.2641,Pondok Wisata Elim
505,Sambava,MG,75.52,light rain,-14.2667,50.1667,Melrose
513,San Juan,AR,75.36,overcast clouds,-31.5375,-68.5364,Hotel Provincial
516,Safaga,EG,76.75,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
517,Marrakesh,MA,82.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
518,Bhilwara,IN,87.78,clear sky,25.35,74.6333,Hotel Radiance Bhilwara
519,Monrovia,LR,80.2,light rain,6.3005,-10.7969,Sunset Inn
522,Puerto Escondido,MX,89.35,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
524,Rancho Veloz,CU,86.63,light rain,22.8806,-80.3917,
525,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
526,Cedar City,US,76.17,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
527,Sinnamary,GF,79.23,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
528,Tocache,PE,83.16,scattered clouds,-8.1842,-76.5125,Residencial JATER
532,Sorong,ID,79.41,broken clouds,-0.8833,131.25,Waigo Splash Hotel
533,Noumea,NC,75.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
537,Aripuana,BR,79.61,overcast clouds,-9.1667,-60.6333,
538,Japura,ID,76.1,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
541,Tautira,PF,80.47,clear sky,-17.7333,-149.15,Pension Oaoa
542,Mogadishu,SO,82.08,light rain,2.0371,45.3438,Hotel Juba
545,Edd,ER,83.35,broken clouds,13.9297,41.6925,
546,Banfora,BF,84.54,few clouds,10.6333,-4.7667,Residences David Hebié
548,Najran,SA,81.25,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
553,Mandera,KE,82.35,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
556,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
560,Sri Aman,MY,77.09,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
574,Cururupu,BR,76.15,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
575,Madimba,TZ,75.49,clear sky,-10.4,40.3333,
578,Kijini,TZ,78.06,overcast clouds,-5.85,39.3167,Green and Blue Ocean Lodge
579,Matara,LK,79.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
584,Kimbe,PG,77.85,clear sky,-5.5502,150.1429,Kimbe Bay Hotel
586,Arenal,CO,89.74,broken clouds,8.4593,-73.9433,Hotel Azteca
588,Tufanganj,IN,77.23,clear sky,26.3167,89.6667,Hotel bangaleeana
590,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
592,Nizwa,OM,80.62,clear sky,22.9333,57.5333,Orient Apartments
595,Todos Santos,MX,75.34,clear sky,23.45,-110.2167,Hotel California Todos Santos
601,Jibuti,DJ,79.92,broken clouds,11.5,42.5,Orchid Main Camp Goubet
602,Cobija,BO,87.98,scattered clouds,-11.0267,-68.7692,Hotel Obelisco
606,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
610,Ranong,TH,79.03,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
612,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
614,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
618,Show Low,US,77.07,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
623,Pozo Colorado,PY,76.64,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
625,San Pedro De Ycuamandiyu,PY,75.11,few clouds,-24.0917,-57.0764,Hotel Refugio
630,Takoradi,GH,81.54,overcast clouds,4.8845,-1.7554,Raybow International Hotel
634,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
638,Rantauprapat,ID,75.27,light rain,2.1,99.8333,Permata Land Hotel & Resort
643,Coahuayana,MX,87.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
645,Puerto Lempira,HN,89.74,scattered clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
649,Parrita,CR,84.43,scattered clouds,9.5201,-84.3225,Beso del Viento
653,Kudahuvadhoo,MV,83.86,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
662,Eyl,SO,82.76,broken clouds,7.9803,49.8164,Amiin Hotel
664,Ouegoa,NC,75.88,broken clouds,-20.35,164.4333,
665,Ewa Beach,US,82.35,few clouds,21.3156,-158.0072,Base Lodging
666,Guayaramerin,BO,85.77,scattered clouds,-10.8368,-65.3614,Hostal Funf
667,Ramkola,IN,86.02,scattered clouds,26.9042,83.8411,Pankaj Sahani Ramkola
669,Merauke,ID,78.66,moderate rain,-8.4667,140.3333,
670,Savannah Bight,HN,82.92,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
677,Acajutla,SV,85.82,broken clouds,13.5928,-89.8275,Laureles
685,Ken Caryl,US,87.67,broken clouds,39.5773,-105.1169,Hampton Inn & Suites Denver Littleton
686,West Bay,KY,87.01,few clouds,19.3667,-81.4167,Calypso Cove
687,Dinguiraye,GN,87.15,few clouds,11.3,-10.7167,
690,Namatanai,PG,81.1,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
695,Poum,NC,76.87,broken clouds,-20.2333,164.0167,
696,Maragogi,BR,77.05,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
703,Teshie,GH,82.96,scattered clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
705,Sechura,PE,78.93,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
706,Choa Saidan Shah,PK,82.9,clear sky,32.7201,72.9849,Office RFO RM
